kayit_id,boy,source_file,aktor,aktor_id,aktor_tipi,hedef,hedef_id,hedef_tipi,event_turu,not,ham_satir,kaynak_notu
DKR0748,Salur Kazan'ın tutsak olup oğlu uruz'un kurtardığı boy,12_salur_kazanin_tutsak_olup_oglu_uruzun_kurtardigi_boy.csv,Düzen Oğlu Alp Rüstem,duzen_oglu_alp_rustem,kişi,Düzen,duzen,kişi,tanımlama,Düzen oğlu Alp Rüstem meydana gelir.,düzen oğlu alp rüstem meydana geldi,ham_okuma_notu; araştırmacı tarafından standartlaştırıldı
DKR0791,İç Oğuz'a Dış Oğuz'un Asi Olup Beyrek'i Öldürdüğü,13_ic_oguza_dis_oguzun_asi_olup_beyreki_oldurdugu.csv,Dış Oğuz Beyleri,dis_oguz_beyleri,grup,,,,tanımlama,"beyreki ata bindirdiler, kendileri de kaçtılar","dış oğuz beyleri (beyreki ata bindirdiler, kendileri de kaçtılar)",ham_okuma_notu; araştırmacı tarafından standartlaştırıldı
DKR0014,Dirse Han Oglu boğaç Han Boyu,02_dirse_han_oglu_bogac_han_boyu.csv,Dirse Han'ın 40 Adamı,dirse_hanin_40_adami,grup,,,,gerilim,grup içi/kollektif iç etkileşim; gerilim - boğaç'a karşı husumet,dirse han'ın 40 adamı - kendi aralarında (gerilim - boğaç'a karşı husumet),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı; edge_listeden event_listesine taşındı
DKR0029,Dirse Han Oglu boğaç Han Boyu,02_dirse_han_oglu_bogac_han_boyu.csv,Dirse Han'ın 40 Adamı,dirse_hanin_40_adami,grup,,,,çatışma,grup içi/kollektif iç etkileşim; gerilim - dirseyi kafire esir verelim,Dirse'nin 40 adamı - kendi aralarında (gerilim - dirseyi kafire esir verelim),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı; edge_listeden event_listesine taşındı
DKR0121,Kam Püre'nin Oğlu Bamsı Beyrek Boyu,04_kam_purenin_oglu_bamsi_beyrek_boyu.csv,Bezirganlar,bezirganlar,grup,,,,diyalog_olumlu,grup içi/kollektif iç etkileşim; diy+ bamsıya hayranlık,bezirganlar - kendi aralarında (diy+ bamsıya hayranlık),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı; edge_listeden event_listesine taşındı
DKR0152,Kam Püre'nin Oğlu Bamsı Beyrek Boyu,04_kam_purenin_oglu_bamsi_beyrek_boyu.csv,Bamsı'nın Anne Babası,bamsinin_anne_babasi,grup,,,,duygusal_tepki,grup içi/kollektif iç etkileşim; üzülme,"bamsı'nın anne, babası - kendi aralarında (üzülme)",ham_okuma_notu; araştırmacı tarafından standartlaştırıldı; edge_listeden event_listesine taşındı
DKR0162,Kam Püre'nin Oğlu Bamsı Beyrek Boyu,04_kam_purenin_oglu_bamsi_beyrek_boyu.csv,Beyler (Bamsı Beyrek Boyu),beyler_bamsi_beyrek_boyu,grup,,,,duygusal_tepki,grup içi/kollektif iç etkileşim; ağlaşma,beyler - kendi aralarında (ağlaşma),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı; edge_listeden event_listesine taşındı
DKR0180,Kam Püre'nin Oğlu Bamsı Beyrek Boyu,04_kam_purenin_oglu_bamsi_beyrek_boyu.csv,Bamsı Beyrek,bamsi_beyrek,kişi,,,,evlilik/bağlaşıklık,öz konuşma/içsel eylem; bu kaftanla beni tanırlar; başka bir şey giyeyim dostu düşmanı göreyim,beyrek - kendi kendine (bu kaftanla beni tanırlar; başka bir şey giyeyim dostu düşmanı göreyim),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı; edge_listeden event_listesine taşındı
DKR0277,Kazan Bey Oğlu Uruz Bey'in Tutsak Olduğu Boy,05_kazan_bey_oglu_uruz_beyin_tutsak_oldugu_boy.csv,Burla Hatun,burla_hatun,kişi,,,,hareket/eylem,öz konuşma/içsel eylem; uruz avdan döndüğü için kurban kesiyor,han kızı boyu uzun burla hatun - kendi kendine (uruz avdan döndüğü için kurban kesiyor),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı; edge_listeden event_listesine taşındı; v3 bağlamsal standardizasyon; v3 bağlamsal standardizasyon
DKR0281,Kazan Bey Oğlu Uruz Bey'in Tutsak Olduğu Boy,05_kazan_bey_oglu_uruz_beyin_tutsak_oldugu_boy.csv,Salur Kazan,salur_kazan,kişi,,,,duygusal_tepki,öz konuşma/içsel eylem; uruz tutsak diye üzülüyor,kazan - kendi kendine (uruz tutsak diye üzülüyor),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı; edge_listeden event_listesine taşındı
