kayit_id,source_file,degisim_tipi,alan,eski_deger,yeni_deger,gerekce,duzenleme_turu
DKR0193,04_kam_purenin_oglu_bamsi_beyrek_boyu.csv,ad_standardizasyonu,karakter_2,Beyler,Beyler (Bamsı Beyrek Boyu),alias/generic bağlama göre düzeltildi,
DKR0196,04_kam_purenin_oglu_bamsi_beyrek_boyu.csv,ad_standardizasyonu,karakter_1,Kazan,Salur Kazan,alias/generic bağlama göre düzeltildi,
DKR0197,04_kam_purenin_oglu_bamsi_beyrek_boyu.csv,ad_standardizasyonu,karakter_2,Kazan,Salur Kazan,alias/generic bağlama göre düzeltildi,
DKR0198,04_kam_purenin_oglu_bamsi_beyrek_boyu.csv,ad_standardizasyonu,karakter_1,Kazan,Salur Kazan,alias/generic bağlama göre düzeltildi,
DKR0199,04_kam_purenin_oglu_bamsi_beyrek_boyu.csv,ad_standardizasyonu,karakter_2,Kazan,Salur Kazan,alias/generic bağlama göre düzeltildi,
DKR0200,04_kam_purenin_oglu_bamsi_beyrek_boyu.csv,ad_standardizasyonu,karakter_1,Kazan,Salur Kazan,alias/generic bağlama göre düzeltildi,
DKR0202,04_kam_purenin_oglu_bamsi_beyrek_boyu.csv,ad_standardizasyonu,karakter_2,Kazan,Salur Kazan,alias/generic bağlama göre düzeltildi,
DKR0203,04_kam_purenin_oglu_bamsi_beyrek_boyu.csv,ad_standardizasyonu,karakter_1,Kazan,Salur Kazan,alias/generic bağlama göre düzeltildi,
DKR0224,04_kam_purenin_oglu_bamsi_beyrek_boyu.csv,ad_standardizasyonu,karakter_1,Kazan,Salur Kazan,alias/generic bağlama göre düzeltildi,
DKR0225,04_kam_purenin_oglu_bamsi_beyrek_boyu.csv,ad_standardizasyonu,karakter_2,Kazan,Salur Kazan,alias/generic bağlama göre düzeltildi,
DKR0231,04_kam_purenin_oglu_bamsi_beyrek_boyu.csv,ad_standardizasyonu,karakter_1,Kazan,Salur Kazan,alias/generic bağlama göre düzeltildi,
DKR0232,04_kam_purenin_oglu_bamsi_beyrek_boyu.csv,ad_standardizasyonu,karakter_2,Kazan,Salur Kazan,alias/generic bağlama göre düzeltildi,
DKR0233,04_kam_purenin_oglu_bamsi_beyrek_boyu.csv,ad_standardizasyonu,karakter_1,Kazan,Salur Kazan,alias/generic bağlama göre düzeltildi,
DKR0233,04_kam_purenin_oglu_bamsi_beyrek_boyu.csv,ad_standardizasyonu,karakter_2,Beyler,Beyler (Bamsı Beyrek Boyu),alias/generic bağlama göre düzeltildi,
