kayit_id,satir_no,boy,bolum_tipi,karakter_1,karakter_1_id,karakter_1_tipi,karakter_2,karakter_2_id,karakter_2_tipi,iliski_ham,iliski_turu,katman,agirlik,kutupluluk,yonluluk,cikarma_yontemi,not,ham_satir,kaynak_notu,source_file
DKR0793,818.0,İç Oğuz'a Dış Oğuz'un Asi Olup Beyrek'i Öldürdüğü,boy,Bamsı Beyrek,bamsi_beyrek,kişi,Beyrek'in Adamları,beyrekin_adamlari,grup,kazana gidin dayın aruz beyreke kıydı kanını yerde koyma diyin,belirsiz,olay,1,nötr,yönlü,açık_ilişki,kazana gidin dayın aruz beyreke kıydı kanını yerde koyma diyin,beyrek - beyrekin adamları (kazana gidin dayın aruz beyreke kıydı kanını yerde koyma diyin),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,13_ic_oguza_dis_oguzun_asi_olup_beyreki_oldurdugu.csv
DKR0794,819.0,İç Oğuz'a Dış Oğuz'un Asi Olup Beyrek'i Öldürdüğü,boy,Basat,basat,kişi,Aruz,aruz,kişi,oğlu,akrabalık,akrabalık,5,pozitif,yönsüz,çıkarımsal_akrabalık,,aruz oğlu basat,ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,13_ic_oguza_dis_oguzun_asi_olup_beyreki_oldurdugu.csv
DKR0796,821.0,İç Oğuz'a Dış Oğuz'un Asi Olup Beyrek'i Öldürdüğü,boy,Beyrek'in Anne Babası,beyrekin_anne_babasi,grup,Salur Kazan,salur_kazan,kişi,dış oğuz sana asi olmuş beyreki öldürdüler,belirsiz,olay,1,nötr,yönlü,açık_ilişki,dış oğuz sana asi olmuş beyreki öldürdüler,beyrekin anne babası - kazan (dış oğuz sana asi olmuş beyreki öldürdüler),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,13_ic_oguza_dis_oguzun_asi_olup_beyreki_oldurdugu.csv
DKR0799,824.0,İç Oğuz'a Dış Oğuz'un Asi Olup Beyrek'i Öldürdüğü,boy,Kazanın Kardeşi Kara Göne,kazanin_kardesi_kara_gone,kişi,Kılbaş,kilbas,kişi,kalk abim kazan gelsin,belirsiz,olay,1,nötr,yönlü,açık_ilişki,kalk abim kazan gelsin,kazanın kardeşi kara göne - kılbaş (kalk abim kazan gelsin),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,13_ic_oguza_dis_oguzun_asi_olup_beyreki_oldurdugu.csv
DKR0800,825.0,İç Oğuz'a Dış Oğuz'un Asi Olup Beyrek'i Öldürdüğü,boy,Kılbaş,kilbas,kişi,Kara Göne,kara_gone,kişi,sen kazanın kardeşisin sen git,akrabalık,akrabalık,5,pozitif,yönsüz,açık_ilişki,sen kazanın kardeşisin sen git,kılbaş - kara göne (sen kazanın kardeşisin sen git),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,13_ic_oguza_dis_oguzun_asi_olup_beyreki_oldurdugu.csv
DKR0801,826.0,İç Oğuz'a Dış Oğuz'un Asi Olup Beyrek'i Öldürdüğü,boy,Kılbaş ve Kara Göne,kilbas_ve_kara_gone,grup,Salur Kazan,salur_kazan,kişi,"selam verdiler, aramızdan bir yiğit ayrıldı; kanım alınsın diye vasiyet etmiş; ağlamakla nesne olmaz",belirsiz,olay,1,nötr,yönlü,açık_ilişki,"selam verdiler, aramızdan bir yiğit ayrıldı; kanım alınsın diye vasiyet etmiş; ağlamakla nesne olmaz","kılbaş ve kara göne - kazan (selam verdiler, aramızdan bir yiğit ayrıldı; kanım alınsın diye vasiyet etmiş; ağlamakla nesne olmaz)",ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,13_ic_oguza_dis_oguzun_asi_olup_beyreki_oldurdugu.csv
DKR0802,827.0,İç Oğuz'a Dış Oğuz'un Asi Olup Beyrek'i Öldürdüğü,boy,Salur Kazan,salur_kazan,kişi,Kılbaş ve Kara Göne,kilbas_ve_kara_gone,grup,tez cephaneyi yüklesinler; tüm beyler hazırlansın,belirsiz,olay,1,nötr,yönlü,açık_ilişki,tez cephaneyi yüklesinler; tüm beyler hazırlansın,kazan - kılbaş ve kara göne (tez cephaneyi yüklesinler; tüm beyler hazırlansın),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,13_ic_oguza_dis_oguzun_asi_olup_beyreki_oldurdugu.csv
DKR0803,828.0,İç Oğuz'a Dış Oğuz'un Asi Olup Beyrek'i Öldürdüğü,boy,Salur Kazan,salur_kazan,kişi,Iç Oğuz Beyleri,ic_oguz_beyleri,grup,kazan öncülüğünde yola koyuldu,belirsiz,olay,1,nötr,yönlü,açık_ilişki,kazan öncülüğünde yola koyuldu,kazan - iç oğuz beyleri (kazan öncülüğünde yola koyuldu),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,13_ic_oguza_dis_oguzun_asi_olup_beyreki_oldurdugu.csv
DKR0806,831.0,İç Oğuz'a Dış Oğuz'un Asi Olup Beyrek'i Öldürdüğü,boy,Aruz,aruz,kişi,Salur Kazan,salur_kazan,kişi,düşman,belirsiz,olay,1,nötr,yönlü,açık_ilişki,düşman,aruz - kazan (düşman),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,13_ic_oguza_dis_oguzun_asi_olup_beyreki_oldurdugu.csv
DKR0807,832.0,İç Oğuz'a Dış Oğuz'un Asi Olup Beyrek'i Öldürdüğü,boy,Emen,emen,kişi,Ters Uzamış,ters_uzamis,kişi,düşman,belirsiz,olay,1,nötr,yönlü,açık_ilişki,düşman,emen - ters uzamış (düşman),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,13_ic_oguza_dis_oguzun_asi_olup_beyreki_oldurdugu.csv
DKR0808,833.0,İç Oğuz'a Dış Oğuz'un Asi Olup Beyrek'i Öldürdüğü,boy,Alp Rüstem,alp_rustem,kişi,Ense Koca Oğlu Okçu,ense_koca_oglu_okcu,kişi,düşman,belirsiz,olay,1,nötr,yönlü,açık_ilişki,düşman,alp rüstem - ense koca oğlu okçu (düşman),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,13_ic_oguza_dis_oguzun_asi_olup_beyreki_oldurdugu.csv
DKR0809,834.0,İç Oğuz'a Dış Oğuz'un Asi Olup Beyrek'i Öldürdüğü,boy,Aruz,aruz,kişi,Salur Kazan,salur_kazan,kişi,çatışma,çatışma,çatışma,5,negatif,yönsüz,açık_ilişki,çatışma,aruz - kazan (çatışma),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,13_ic_oguza_dis_oguzun_asi_olup_beyreki_oldurdugu.csv
DKR0810,835.0,İç Oğuz'a Dış Oğuz'un Asi Olup Beyrek'i Öldürdüğü,boy,Kara Göne,kara_gone,kişi,Aruz,aruz,kişi,aruzu öldürdü,belirsiz,olay,1,nötr,yönlü,açık_ilişki,aruzu öldürdü,kara göne - aruz (aruzu öldürdü),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,13_ic_oguza_dis_oguzun_asi_olup_beyreki_oldurdugu.csv
DKR0811,836.0,İç Oğuz'a Dış Oğuz'un Asi Olup Beyrek'i Öldürdüğü,boy,Dış Oğuz Beyleri,dis_oguz_beyleri,grup,Salur Kazan,salur_kazan,kişi,af dilediler,destek/yardım,olay,4,pozitif,yönlü,açık_ilişki,af dilediler,dış oğuz beyleri - kazan (af dilediler),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,13_ic_oguza_dis_oguzun_asi_olup_beyreki_oldurdugu.csv
DKR0812,837.0,İç Oğuz'a Dış Oğuz'un Asi Olup Beyrek'i Öldürdüğü,boy,Salur Kazan,salur_kazan,kişi,Dış Oğuz Beyleri,dis_oguz_beyleri,grup,affetti,destek/yardım,olay,4,pozitif,yönlü,açık_ilişki,affetti,kazan - dış oğuz beyleri (affetti),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,13_ic_oguza_dis_oguzun_asi_olup_beyreki_oldurdugu.csv
